title,rating,posterUrl,genre,cast,runtime
Leave No Trace,7.2,,Adventure,Thomasin McKenzie,109
Bumblebee,6.7,,Action,Hailee Steinfeld,114
Vice,7.2,,Biography,Christian Bale,132
Hotel Transylvania 3: Summer Vacation,6.3,,Animation,Adam Sandler,97
Mile 22,6.1,,Action,Mark Wahlberg,94
Peter Rabbit,6.6,,Animation,James Corden,95
12 Strong,6.6,,Action,Chris Hemsworth,130
The Spy Who Dumped Me,6.1,,Action,Justin Theroux,117
Upgrade,7.5,,Action,Logan Marshall-Green,100
Mary Queen of Scots,6.3,,Biography,Saoirse Ronan,124
Ralph Breaks the Internet,7,,Animation,John C. Reilly,112
Overlord,6.6,,Action,Jovan Adepo,110
Tomb Raider,6.3,,Action,Alicia Vikander,119
The Girl in the Spider's Web,6.1,,Action,Claire Foy,115
Mortal Engines,6.1,,Action,Hera Hilmar,128
Maze Runner: The Death Cure,6.3,,Action,Dylan O'Brien,143
First Man,7.3,,Biography,Ryan Gosling,141
Creed II,7.1,,Drama,Michael B. Jordan,130
Rampage,6.1,,Action,Dwayne Johnson,107
Everybody Knows,6.9,,Crime,Penélope Cruz,133
Mid90s,7.4,,Comedy,Sunny Suljic,85
Replicas,5.5,,Drama,Keanu Reeves,107
Widows,6.9,,Crime,Viola Davis,129
Burning,7.5,,Drama,Yoo Ah-in,148
Searching,7.6,,Drama,John Cho,102
Life Itself,6.9,,Drama,Oscar Isaac,117
Blockers,6.2,,Comedy,Leslie Mann,102
The Strangers: Prey at Night,5.2,,Horror,Christina Hendricks,85
Peppermint,6.5,,Action,Jennifer Garner,101
High Life,5.8,,Adventure,Robert Pattinson,113
Every Day,6.5,,Drama,Angourie Rice,97
Operation Finale,6.6,,Biography,Oscar Isaac,122
Shoplifters,7.9,,Crime,Lily Franky,121
Blindspotting,7.4,,Comedy,Daveed Diggs,95
