,movie_name,year,genre,Poster_url,director,cast,overview
875,Kavacham,2018,"Action, Crime, Thriller",,Sreenivas Mamilla,"Sai Srinivas Bellamkonda, Kajal Aggarwal, Mehreen Pirzada, Neil Nitin Mukesh",A police officer from Vizag finds himself in a rut when false allegations are levied against him. He has 24 hours now to prove his innocence.
876,Janmabhoomi,2024,Drama,,Sreenivas Mamilla,"Sai Srinivas Bellamkonda, Kajal Aggarwal, Mehreen Pirzada, Neil Nitin Mukesh",A courtroom drama based on Ram Mandir trial in Ayodhya.
877,Munnibai,1999,"Action, Crime, Drama",,Kanti Shah,"Dharmendra, Sapna Sappu, Durgesh Nandini, Mohan Joshi","A man kills another, and his daughter vows to avenge him, even if it means she must turn herself into a mountain bandit. The killer's daughter defends her father, and the family feud is to be settled outside of the law."
878,Yaarana,1981,"Action, Comedy, Drama",,Rakesh Kumar,"Amitabh Bachchan, Neetu Singh, Tanuja Samarth, Aruna Irani","Bishan loses his fortune while helping his friend Kishan in his singing career. Now successful, would Kishan return the favour?"
879,Aks,2001,"Action, Crime, Horror",,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee, Nandita Das","Raghavan Ghatge, a psychotic terrorist, and Manu Verma, the cop who tracks him down, shoot each other simultaneously, the result being that Raghavan's soul is transferred into Verma's body and vice versa."
880,Khan kluay,2006,"Animation, Adventure, Family",,"Kompin Kemgumnird, Tod Polson","Akshay Kumar, Anyarit Pitakkul, Lara Dutta, Nawarat Techarathanaprasert","A young elephant goes on an extraordinary adventure and learns important lessons along the way about friendship, love and courage."
881,Hunterrr,2015,"Comedy, Romance",,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena","Mandar, an ordinary guy is obsessed with sex and chases girls until he meets Tripti and decides to settle down with her."
882,Lost,2022,"Drama, Thriller",,Aniruddha Roy Chowdhury,"Yami Gautam, Pankaj Kapur, Rahul Khanna, Tushar Pandey","An emotional thriller that represents a higher quest, a search for lost values of empathy and integrity."
883,The Ghazi Attack,2017,"Action, Thriller, War",,Sankalp Reddy,"Rana Daggubati, Kay Kay Menon, Atul Kulkarni, Om Puri","A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21."
884,99,2009,"Comedy, Crime, Drama",,"Krishna D.K., Raj Nidimoru","Kunal Kemmu, Boman Irani, Soha Ali Khan, Cyrus Broacha",A gangster deputes two of his men to recover money from an out of town compulsive gambler.
885,Tujhe Meri Kasam,2003,Romance,,Vijay K. Bhaskar,"Riteish Deshmukh, Genelia Deshmukh, Shakti Kapoor, Supriya Karnik",Rishi and Anju are childhood buddies struggle to find out if they have more than friendship between them.
886,Baasha,1995,"Action, Crime, Drama",,Suresh Krishna,"Rajinikanth, Nagma, Raghuvaran, Vijayakumar","An auto driver, Manikam, desperately tries to hide his dark underworld side to keep his promise to his father."
887,Gangster,2006,"Action, Crime, Drama",,Anurag Basu,"Kangana Ranaut, Shiney Ahuja, Emraan Hashmi, Gulshan Grover","Simran, who relocates to Seoul, is distraught when Daya, a gangster, re-enters her life. She has to make a choice between him and her lover Akash, who is a singer at an Indian restaurant."
888,Commando 3,2019,"Action, Adventure, Thriller",,Aditya Datt,"Gulshan Devaiah, Robin Chaudhary, Subhasish Ghosh, Pradeep Yadav",Karan goes to London to stop a terrorist attack on India.
889,The Lift Boy,2019,"Comedy, Drama",,Jonathan Augustin,"Moin Khan, Nyla Masood, Sagar Kale, Neha Bam",The Lift Boy is a coming of age story of a 24-year-old vagabond who is forced to work at a posh building in Mumbai as a Lift Boy when his bread-winning father falls ill.
890,Main Aur Charles,2015,"Action, Biography, Crime",,Prawaal Raman,"Adil Hussain, Alexx O'Nell, Anastasia Fullfina, Dijana Dejanovic","After escaping from prison, a notorious serial killer and conman becomes the target of a nationwide manhunt led by an honest police officer determined to catch him."
891,Gangaa Jamunaa Saraswathi,1988,"Action, Drama, Romance",,Manmohan Desai,"Amitabh Bachchan, Mithun Chakraborty, Jaya Prada, Meenakshi Sheshadri","Gangaa Jamunaa and Saraswathi the most pious rivers, create a unique holy merger, popularly known as ""Sangam"". Likewise the characters of our story Gangaa Jamunaa and Saraswathi desire to ...                See full summary »"
892,Salaam-E-Ishq,2007,"Comedy, Drama, Musical",,Nikkhil Advani,"Salman Khan, Priyanka Chopra Jonas, Anil Kapoor, Juhi Chawla","Six couples in love must face different problems caused by love itself. Do they resolve their issues and face life anew, or do they succumb under pressure ?"
893,Chhal,2002,"Action, Crime, Drama",,Hansal Mehta,"Kay Kay Menon, Jaya Seal, Naved Aslam, Shri Vallabh Vyas","Secret Service Agent, Karan Menon (Kay Kay) has been assigned the task of penetrating the gang and winning the confidence of underworld don, Shastri (Vallabh Vyas). Karan does so with ease,...                See full summary »"
894,Maine Pyaar Kyun Kiya,2005,"Comedy, Drama, Romance",,David Dhawan,"Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan","Samir is in love with Sonia but has unfortunately lied to her that he was already married.When she wants to meet her wife,Samir approaches his dutiful nurse Naina to play 'wife'a drama that turns out into a comedy of errors."
895,Dil Kya Kare,1999,"Drama, Musical, Romance",,Prakash Jha,"Ajay Devgn, Mahima Chaudhry, Kajol, Chandrachur Singh",An emotional saga of a mother who has lost her child and her love.
896,Gori Tere Pyaar Mein!,2013,"Comedy, Drama, Romance",,Punit Malhotra,"Imran Khan, Kareena Kapoor, Sujata Kumar, Radha Ramachandra",Self-centered Sriram Venkat changes his outlook and actions when his girlfriend leaves him.
897,Aankhen,1993,"Action, Comedy, Crime",,David Dhawan,"Govinda, Chunky Pandey, Raj Babbar, Kader Khan",Two good-for-nothing brothers are embroiled in a conspiracy involving a political assassination and try their best to save the country.
898,Theeran Adhigaaram Ondru,2017,"Action, Crime, Thriller",,H. Vinoth,"Karthi, Rakul Preet Singh, Abhimanyu Singh, Bose Venkat","Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern."
899,Ek Ladki Ko Dekha Toh Aisa Laga,2019,"Comedy, Crime, Drama",,Shelly Chopra Dhar,"Sonam Kapoor, Anil Kapoor, Rajkummar Rao, Juhi Chawla","The film tells the story of closeted lesbian Sweety Chaudhary and her attempts to come out to her conservative, traditional family."
900,Chandni Chowk to China,2009,"Action, Adventure, Comedy",,Nikkhil Advani,"Akshay Kumar, Deepika Padukone, Chia-Hui Liu, Mithun Chakraborty",A cook from Chandni Chowk gets mistaken for the reincarnation of an ancient peasant warrior by the residents of an oppressed Chinese village.
901,Hi Nanna,2023,"Drama, Family, Romance",,Shouryuv,"Mrunal Thakur, Shruti Haasan, Nani, Angad Bedi",Plot under wraps.
902,Anand,1971,"Drama, Musical",,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
903,Ghar Dwaar,1985,Drama,,Kalpataru,"Tanuja Samarth, Sachin Pilgaonkar, Raj Kiran, Shoma Anand","Dhanraj resides with his two brothers, Chander and Ketan, his sister, Asha, and wife, Savitri, in their family home. Dhanraj wants Chander and Ketan to study and get better jobs, so he ...                See full summary »"
904,Kis Kisko Pyaar Karoon,2015,"Comedy, Romance",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla, Abinash Rout","Kapil Sharma, Simran Kaur Mundi, Manjari Fadnnis, Sai Lokur","A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend."
905,Khushboo,1975,"Drama, Romance",,Gulzar,"Jeetendra, Hema Malini, Durga Khote, Farida Jalal","Kusum and Brindavan are two small children living in a small village in India. Both love each other, and decide to marry when they grow up. Kusum has his name tattooed on her arm. But fate ...                See full summary »"
906,Chalaak,2023,Thriller,,Ashish Deo,"Jeevansh Chadha, Abhinav Gautam, Asma Sayed, Raghav Vohra","An abduction, an extra marital affair and bold revelations. Mansi's life takes an unexpected turn when she is mysteriously kidnapped. This ordeal forces her to confront her past and hidden intentions are revealed."
907,Stanley Ka Dabba,2011,"Comedy, Drama, Family",,Amole Gupte,"Partho A. Gupte, Numaan Sheikh, Abhishek Reddy, Sai Shara Shetty","A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box."
908,Ghost Story - An Abstract Film,2020,Horror,,Zubair Khan,"Farrah Kader, Samidha Kiran, Aabid Shamim",A Writer - A Haunted Bungalow - A Murder - Some Dark Secrets - Ghosts and A Story with a Twist.
909,Sandeep Aur Pinky Faraar,2021,"Comedy, Crime, Drama",,Dibakar Banerjee,"Jaideep Ahlawat, Parineeti Chopra, Arjun Kapoor, Neena Gupta","Sandeep, a bank executive and Pinky, a suspended cop, are marked for a kill. Phones tapped, accounts blocked, they escape but escaping is not freedom."
910,Rascals,2011,"Action, Comedy, Crime",,David Dhawan,"Ajay Devgn, Sanjay Dutt, Kangana Ranaut, Lisa Haydon",Two rival con-men attempt to outdo each other to woo a wealthy woman.
911,Aiyaary,2018,"Action, Drama, Thriller",,"Neeraj Pandey, Feroz Khan Bollybrothers","Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra","After finding out about an illegal arms deal, a military intelligence officer goes rogue with highly sensitive data related to his organization, causing his mentor: a colonel, to hunt him down."
912,Veerana,1988,"Action, Drama, Horror",,"Shyam Ramsay, Tulsi Ramsay","Jasmin, Hemant Birje, Sahila Chaddha, Kulbhushan Kharbanda","A beautiful young girl, unfortunately possessed from her childhood by a vengeful spirit, wanders around lonely places to seduce and kill people, gradually becoming lost into a dark world of revenge and lust."
913,Wake Up Sid,2009,"Comedy, Drama, Romance",,Ayan Mukerji,"Ranbir Kapoor, Konkona Sen Sharma, Supriya Pathak, Anupam Kher","The story of a lazy Mumbai college student who does absolutely nothing, with a turn of events will Sid realize his potential in this world and become a success in the fast-paced life of Mumbai."
914,Keedaa Cola,2023,"Comedy, Crime",,Tharun Bhascker Dhaassyam,"Brahmanandam, Ravindra Vijay, Tharun Bhascker Dhaassyam, Jeevan Kumar",Add a Plot
915,Daawat-e-Ishq,2014,"Comedy, Drama, Romance",,Habib Faisal,"Aditya Roy Kapoor, Parineeti Chopra, Anupam Kher, Karan Wahi","A story of Gullu, a Hyderabadi girl frustrated with dowry-seeking men and Taru (a charming Lucknawi cook), who crush old-fashioned world-view."
916,Aiyyaa,2012,"Comedy, Romance",,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave","A woman goes on the hunt for her dream man, armed with her wild imagination, her passion for Masala-films, and her ultra-sensitive sense of smell."
917,Toofan,1989,"Action, Crime, Drama",,Ketan Desai,"Amitabh Bachchan, Meenakshi Sheshadri, Amrita Singh, Farooq Shaikh",Honest police officer Hanuman Prasad Singh lives like friend and family with a magician by the name of Ramesh Kumar. Hanuman's wife passes away after giving birth to male twin babies; upon ...                See full summary »
918,Zanjeer,1973,"Action, Crime, Drama",,Prakash Mehra,"Amitabh Bachchan, Jaya Bachchan, Pran Sikand, Om Prakash","A tough and honest police officer clashes with a crime boss who, unbeknownst to him, happens to be his parents' murderer."
919,Qurbani,1980,"Action, Crime, Drama",,Feroz Khan,"Feroz Khan, Vinod Khanna, Zeenat Aman, Amjad Khan",Two friends live happily until misunderstandings arise between them.
920,Dr. Cabbie,2014,Comedy,,Jean-François Pouliot,"Vinay Virmani, Adrianne Palicki, Kunal Nayyar, Lillete Dubey","An Indian doctor emigrates to Canada in the hope of starting a new life, but bureaucracy confines him to life as a taxi driver. When he cannot suppress his desire to practice medicine, he begins illegally treating patients from his cab."
921,Mahanati,2018,"Biography, Drama",,Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan, Samantha Ruth Prabhu, Vijay Deverakonda","Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
922,Saudagar,1991,"Action, Drama, Romance",,Subhash Ghai,"Dilip Kumar, Raaj Kumar, Vivek Mushran, Manisha Koirala",Two clan chiefs who have maintained a blood feud for decades have to contend with the romance between their respective grandchildren.
923,Har Har Mahadev,2022,"Action, Drama, War",,Abhijeet Shirish Deshpande,"Sharad Kelkar, Subodh Bhave, Yogesh Jadhav, Nitish Chavan","This is the inspirational story of a real battle in which only 300 soldiers, led by Baji Prabhu Deshpande, the commander of Chhatrapati Shivaji Maharaj, held back an enemy army of 15,000 while Shivaji reached the safety of Khera fort."
924,Zapatlela,1993,"Comedy, Drama, Horror",,Mahesh Kothare,"Laxmikant Berde, Mahesh Kothare, Kishori Ambiye, Ravindra Berde",A man is presumed to have been haunted when a doll possessed by the spirit of a gangster comes along in his life.
925,Judwaa,1997,"Action, Comedy, Drama",,David Dhawan,"Salman Khan, Karisma Kapoor, Rambha, Kader Khan","Twin brothers who are separated soon after birth, meet in adulthood and join forces to defeat their common enemy, a notorious criminal."
926,That Girl in Yellow Boots,2010,"Crime, Drama, Mystery",,Anurag Kashyap,"Kalki Koechlin, Prashant Prakash, Naseeruddin Shah, Gulshan Devaiah",A British woman faces challenges while attempting to locate her father in India.
927,The Delhi Files,,"Crime, History, Thriller",,Vivek Agnihotri,"Ankit Bisht, Mithun Chakraborty, Palomi Ghosh, Sougata Ghosh",Add a Plot
928,Jolly LLB 2,2017,"Comedy, Crime, Drama",,Subhash Kapoor,"Akshay Kumar, Huma Qureshi, Saurabh Shukla, Annu Kapoor",Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.
929,Gold,2018,"Drama, History, Sport",,Reema Kagti,"Krishan Tandon, Hubertus Geller, Siddharth Kher, Sheldon Redden",The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.
930,Bichhoo,2000,"Action, Crime, Drama",,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Ashish Vidyarthi, Farida Jalal",A contract killer with a tragic past trains a teenage girl to avenge the murder of her family and falls for her in the process.
931,Kaali Khuhi,2020,"Drama, Horror, Mystery",,Terrie Samundra,"Shabana Azmi, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora","Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past."
932,Jigar,1992,"Action, Drama, Romance",,Farogh Siddique,"Ajay Devgn, Karisma Kapoor, Ajit Khan, Feroz Khan","An engaging action-sport film, where a man avenges his sister's humiliation by participating in a deadly kung-fu tournament."
933,Aatmapamphlet,2023,"Comedy, Drama",,Ashish Bende,"Om Bendkhale, Rajratna Bhojane, Khushi Hajare, Bhimrao Mude",A young boy growing up amidst massive social and economic changes in 1990s India.
934,Amar Prem,1972,"Drama, Musical, Romance",,Shakti Samanta,"Rajesh Khanna, Sharmila Tagore, Sujit Kumar, Bindu Desai",A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.
935,Awarapan,2007,"Action, Crime, Drama",,Mohit Suri,"Emraan Hashmi, Mrinalini Sharma, Ashish Vidyarthi, Ashutosh Rana","A loyal henchman is ordered by his boss to keep an eye on his mistress, and trouble begins when he refuses to kill her."
936,Hate Story 2,2014,"Drama, Thriller",,Vishal Pandya,"Jay Bhanushali, Surveen Chawla, Sushant Singh, Siddharth Kher",A woman takes revenge on a powerful corrupt politician who forcefully abused her and left her for dead.
937,Brahmastra 2,2026,"Action, Adventure, Fantasy",,Ayan Mukerji,"Deepika Padukone, Alia Bhatt, Ranbir Kapoor",Follows Shiva's father: Dev.
938,Musafir,2004,"Action, Crime, Drama",,"Sanjay Gupta, Hasib Muhammad","Anil Kapoor, Sameera Reddy, Aditya Pancholi, Mahesh Manjrekar","A small-time criminal, betrayed by his girlfriend and owing money to a fearsome crime lord, agrees to travel to Goa for a drug deal and becomes involved with a local woman and her much older husband, both of who want to kill each other."
939,Possessed Love,2021,"Drama, Horror, Romance",,Manmeet Singh Sodhi,"Surbhi Shukla, Sachin Sharma, Unika Ray, Harsh Arora","Everything was going well for the bride but her life changed completely when she decided to go out of the house on the night of Haldi, taking her grandmother's faith as superstition. She ...                See full summary »"
940,Prem Ratan Dhan Payo,2015,"Action, Drama, Musical",,Sooraj R. Barjatya,"Salman Khan, Sonam Kapoor, Neil Nitin Mukesh, Deepak Dobriyal","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike."
941,Nadiya Ke Paar,1982,"Drama, Romance",,Govind Moonis,"Sachin Pilgaonkar, Sadhana Singh, Inder Thakur, Mitali","Chandan and Gunja, who hails from a village across the river, fall in love with each other. After her sister dies, Gunja is compelled to marry her brother-in-law who is Chandan's brother."
942,David,2013,"Action, Crime, Drama",,Bejoy Nambiar,"Vikram, Neil Nitin Mukesh, Vinay Virmani, Tabu",The lives of three different men named David are about to change forever.
943,Roar,2014,"Action, Adventure, Sci-Fi",,Kamal Sadanah,"Aadil Chahal, Ahran Chaudhary, Pranay Dixit, Subrat Dutta","After his photojournalist brother gets killed by a white tigress in the jungles of the Sundarbans, Pandit and his team of commandos enter the prohibited core area of the forest to avenge his death."
944,Aarakshan,2011,"Drama, Thriller",,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone",The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
945,Angithee,2021,Drama,,Rahhat Shah Kazmi,"Rahhat Shah Kazmi, Hussein Khan, Tariq Khan","Firdous is married off in a conservative house with her husband Hameed. Her old friend Shahid comes back from Punjab and they fall in love, but things change when Hameed discovers Firdous is sleeping with his friend."
946,Dharmatma,1975,"Action, Romance, Thriller",,Feroz Khan,"Premnath Malhotra, Feroz Khan, Hema Malini, Rekha","Wealthy, powerful and influential Seth Dharamdas leads a financially secure life in a palatial mansion. He is known to come to the aid of all people who are beyond any hope of assistance, ...                See full summary »"
947,Meenakshi Sundareshwar,2021,"Comedy, Romance",,Vivek Soni,"Sanya Malhotra, Abhimanyu Dasani, Shivkumar Subramaniam, Nivedita Bhargava","Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage."
948,De Dana Dan,2009,"Action, Comedy, Crime",,Priyadarshan,"Akshay Kumar, Suniel Shetty, Katrina Kaif, Sameera Reddy",Two down on their luck men tries to kidnap a wealthy businesswoman's dog to demand a hefty ransom from her. Things goes haywire when the dog goes missing.
949,Mastram,2013,"Biography, Drama",,Akhilesh Jaiswal,"Rahul Bagga, Tara-Alisha Berry, Aakash Dahiya, Istiyak Khan",How a clerk became an erotica writer.
950,Ek Thi Daayan,2013,"Horror, Romance, Thriller",,Kannan Iyer,"Emraan Hashmi, Konkona Sen Sharma, Kalki Koechlin, Huma Qureshi","When gifted magician Bobo finds himself assailed by hallucinations and seeks professional help, he learns he's being haunted by a sinister spirit."
951,Le Halua Le,2012,"Comedy, Drama, Romance",,Raja Chanda,"Laboni Sarkar, Payel Sarkar, Subhasish Mukherjee, Kharaj Mukherjee","Love's wires are crossed in this hilarious caper; strategems and misunderstandings abound as the young protagonists struggle to navigate their way through life, land jobs, and find a place to live."
952,Virasat,1997,"Action, Drama, Musical",,Priyadarshan,"Anil Kapoor, Tabu, Pooja Batra, Milind Gunaji","After completing his studies in London, England, Shakti Thakur returns home to India in a small town where his family resides. Accompanying him is his leggy girlfriend, Anita, who he is in ...                See full summary »"
953,Axone,2019,"Comedy, Drama",,Nicholas Kharkongor,"Sayani Gupta, Lin Laishram, Jimpa Sangpo Bhutia, Tenzing Dalha","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors."
954,Coolie No. 1,1995,"Action, Comedy, Romance",,David Dhawan,"Govinda, Karisma Kapoor, Harish, Kanchan",In order to avenge his insult against wealthy Hoshiarchand Choudhary; Pandit Shaadiram Gharjodhe asks Raju; a coolie by profession to masquerade as a wealthy business tycoon so that he can get marry to Choudhary's daughter Malti.
955,Maya,1993,"Drama, Mystery, Romance",,Ketan Mehta,"Deepa Sahi, Farooq Shaikh, Raj Babbar, Shah Rukh Khan","A beautiful, wealthy woman's insatiable appetite for romance leads to tragedy and a police investigation."
956,Mardaani,2014,"Action, Crime, Drama",,Pradeep Sarkar,"Rani Mukerji, Jisshu Sengupta, Anant Vidhaat, Mona Ambegaonkar","A story of Shivani Shivaji Roy, Crime Branch, who sets out to confront the mastermind behind a child trafficking mafia."
957,Kalyug,2005,"Action, Crime, Drama",,Mohit Suri,"Kunal Kemmu, Deepal Shaw, Smiley Suri, Atul Parchure","A newly married couple is caught on camera during their honeymoon. When the wife commits suicide after the video is released on internet, the husband sets out to seek revenge."
958,Yeh Shaadi Nahi Ho Sakti,2023,Comedy,,Akarsh Khurana,"Prajakta Koli, Shikha Talsania, Chaitnya Sharma, Adhaar Khurana",Lovers Priya and Lakshman who can't get married till Priya's elder sister Pallavi does. Lakshman devises an elaborate plan where they hire an NRI groom to woo Pallavi.
959,Hawayein,2003,"Drama, Romance",,Amitoj Mann,"Amitoj Mann, Babbu Mann, Aanandee Tripathi, Mukul Dev","Set against the backdrop of the 1984 Sikh genocide, Hawayein is a 2003 film directed by Ammtoje Mann. The film is based on some real-life events and features the impact of Operation ...                See full summary »"
960,Ek Jaan Hain Hum,1983,"Family, Romance",,Rajiv Mehra,"Rakesh Bedi, Avtar Gill, Gulshan Grover, Rajeev Kapoor","While trying to win over his beloved's parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense."
961,420 IPC,2021,Crime,,Manish Gupta,"Rohan Mehra, Vinay Pathak, Ranvir Shorey, Gul Panag","In this ZEE5 Original film, CA Keswani is arrested for bank fraud and forgery. Keswani hires Birbal, a lawyer, to fight his case, but Birbal realises that there's more to it than meets the eye."
962,Baaghi 2,2018,"Action, Crime, Drama",,Ahmed Khan,"Disha Patani, Tiger Shroff, Jacqueline Fernandez, Randeep Hooda","A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India."
963,Ragini MMS 2,2014,Horror,,Bhushan Patel,"Sunny Leone, Saahil Prem, Parvin Dabas, Sandhya Mridul",A sleazy film director's decision to shoot his latest erotic horror movie in a notorious haunted house angers the vengeful spirit of its past inhabitant.
964,Bade Miyan Chote Miyan,1998,"Action, Comedy, Musical",,David Dhawan,"Amitabh Bachchan, Govinda, Raveena Tandon, Ramya Krishnan","Arjun and Pyare Mohan are honest policemen who work together. Trouble follows when thieves Bade Miyan and Chote Miyan, look-alikes of Arjun and Pyare, commit crimes and the hapless duo are blamed for it."
965,The Blue Umbrella,2005,"Comedy, Drama, Family",,Vishal Bhardwaj,"Pankaj Kapur, Shreya Sharma, Deepak Dobriyal, Rahul Kumar","In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her."
966,Operation Valentine,2023,"Action, Drama, Thriller",,Shakti Pratap Singh,"Manushi Chhillar, Varun Tej","Operation Valentine is a patriotic, edge-of-the-seat entertainer and will showcase our Air Force heroes on the front-lines and the challenges they faced as they fought one of the biggest, fiercest aerial attacks that India has ever seen."
967,Betaab,1983,"Family, Romance",,Rahul Rawail,"Shammi Kapoor, Nirupa Roy, Prem Chopra, Sunny Deol","A young man (Sunny Deol) and woman (Amrita Singh) fall in love, but face obstacles from their families."
968,Race 2,2013,"Action, Crime, Thriller",,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Saif Ali Khan, Anil Kapoor, John Abraham, Deepika Padukone",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.
969,Monsoon,2015,"Comedy, Drama, Romance",,Suzad Iqbal Khan,"Shawar Ali, Pandiit GGaaurav Gautam, Pramod Goswami, Raja Gulati",The movie revolves around the story of a 15 year old guy who falls in love with a 28 year old lady. The lady is now a widow as her husband who was a forest officer died while he was on duty...                See full summary »
970,Ek Main Aur Ekk Tu,2012,"Comedy, Drama, Romance",,Shakun Batra,"Kareena Kapoor, Zenobia Shroff, Imran Khan, Boman Irani",A few drinks too many leads an uptight architect and quick-witted hairstylist to marry in Las Vegas. Can a mistake lead to friendship and love?
971,Refugee,2000,"Drama, Musical, Romance",,J.P. Dutta,"Jackie Shroff, Suniel Shetty, Abhishek Bachchan, Kareena Kapoor",A young man who smuggles illegal weapons and people back and forth over the borders between India and Pakistan falls in love with a young woman whose family he helped.
972,Crack,,Drama,,Neeraj Pandey,"Akshay Kumar, Pradum Shukla, Pradum Jaykar, Vicky Kadian",Add a Plot
973,Marjaavaan,2019,"Action, Drama, Romance",,Milap Zaveri,"Riteish Deshmukh, Sidharth Malhotra, Tara Sutaria, Rakul Preet Singh",Raghu and Zoya are enjoying their lives together until a gang leader with harmful intentions turns their world upside down.
974,Bramayugam,2024,"Horror, Thriller",,Rahul Sadasivan,"Mammootty, Arjun Ashokan, Amalda Liz, Sidharth Bharathan",Add a Plot
975,Ek Paheli Leela,2015,"Mystery, Romance, Thriller",,Bobby Khan,"Sunny Leone, Rahul Dev, Mohit Ahlawat, Jay Bhanushali","Two lovers, having been denied true love 300 years ago, are reincarnated in order to correct that wrong."
976,Prince,2010,"Action, Sci-Fi, Thriller",,Kookie Gulati,"Vivek Oberoi, Isaiah, Aruna Shields, Nandana Sen",A wanted thief races against time to find an antique coin after he commits the biggest heist of his life and wakes up the next day with no memories.
977,Mehbooba,1976,"Drama, Romance",,Shakti Samanta,"Rajesh Khanna, Hema Malini, Prem Chopra, Govardhan Asrani","A singer by profession, Suraj (Rajesh Khanna) gets stranded in resthouse in the coutnryside during a rainstorm. While there he experiences ununsual feelings, as if he has been there before....                See full summary »"
978,My Friend Ganesha 4,2020,Comedy,,Shakti Samanta,"Rajesh Khanna, Hema Malini, Prem Chopra, Govardhan Asrani",Add a Plot
979,Luck,2009,"Action, Adventure, Drama",,Soham Shah,"Mithun Chakraborty, Sanjay Dutt, Imran Khan, Ravi Kishan","An underworld kingpin recruits people endowed with 'Luck' from across the globe to take part in a series of challenges designed to test their 'Luck' factor, as gamblers around the world bet on them."
980,Phir Bhi Dil Hai Hindustani,2000,"Comedy, Drama, Musical",,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Johny Lever, Paresh Rawal","In order to seek justice for a man who exacts vengeance on a politician, who was responsible for his daughter's death, two rival reporters teams up to help him to prove his innocence."
981,Grand Masti,2013,"Comedy, Drama, Thriller",,Indra Kumar,"Riteish Deshmukh, Vivek Oberoi, Aftab Shivdasani, Karishma Tanna","Meet, Prem, and Amar look to have a blast at their college reunion, though they soon find themselves in another predicament."
982,Seeta Aur Geeta,1972,"Adventure, Comedy, Drama",,Ramesh Sippy,"Dharmendra, Sanjeev Kumar, Hema Malini, Manorama","Long-suffering heiress Seeta is treated worse than a servant by her abusive money-grubbing aunt. Meanwhile, her long-lost twin sister Geeta grows up to be a gutsy street performer. One day, the girls unintentionally swap places."
983,Muthu,1995,"Action, Comedy, Drama",,K.S. Ravikumar,"Rajinikanth, Meena, Sarath Babu, Senthil","The movie is about a loyal servant, Muthu (Rajni), working for Zamindar Malayasimman (Sarath Babu) and the cunning plans by the uncle of Malasimman to capture the whole wealth which uncovers some mystery about Muthu."
984,Coat,2023,"Drama, Family",,"Akshay Ditti, Kumar Abhishek","Sanjay Mishra, Vivaan Shah, Sonal Jha, Pooja Pandey","Madho and his father are pig farmers, of a low caste are not respected by the other villagers. One day he sees a foreigner being respected and because of his expensive coat. Determined Madho tries to acquire a coat that he cannot afford."
985,Footpath,2003,"Action, Crime, Drama",,Vikram Bhatt,"Aftab Shivdasani, Bipasha Basu, Rahul Dev, Emraan Hashmi","Two friends of a man help him avenge his father's death. Years later, he reunites with his friends who have now become criminals. What they don't know, is that he is now an undercover cop."
