,movie_name,year,genre,Poster_url,director,cast,overview
1743,Deewana Mastana,1997,"Comedy, Romance",,David Dhawan,"Anil Kapoor, Govinda, Juhi Chawla, Johny Lever",Chaos ensues when a small time crook and a mental patient tries to win heart of a beautiful woman with comical outcomes.
1744,Shadyantra,2022,Thriller,,Ganesh Yadav,"Hina Khan, Chandan Roy Sanyal, Kunaal Roy Kapur, Shruti Bapna","It's a story about greed, ambition, self-preservation, and revenge, and it stars Chandan Roy Sanyal and Kunaal Roy Kapur in key roles."
1745,Roti,1974,"Drama, Romance, Thriller",,Manmohan Desai,"Rajesh Khanna, Mumtaz Askari, Nirupa Roy, Sujit Kumar","Mangal Singh (Rajesh Khanna) has been a career criminal, whose criminal career began to steal food and to keep from starving, and thence got him in deeper and deeper in the criminal world. ...                See full summary »"
1746,Yaadon Ki Baaraat,1973,"Action, Drama, Musical",,Nasir Hussain,"Dharmendra, Zeenat Aman, Vijay Arora, Imtiaz Khan","Three brothers are separated after their parents' murder. Years later, their only hope of avenging their parents and reuniting as a family lies in the song they learned as children."
1747,Eiga Doraemon: Nobita no getsumen tansaki,2019,"Animation, Action, Adventure",,"Jeong-beom Lee, Shinnosuke Yakuwa","Wasabi Mizuta, Megumi Ohara, Yumi Kakazu, Subaru Kimura","Nobita saw a moon turned yellow last night and told his class about it but they think it's funny. Doraemon gives him the ""History Explorers Club Badge"" and discovers there's life on the moon. Until a new student changed him forever."
1748,Dhh,2017,"Drama, Family",,Manish Saini,"Naseeruddin Shah, Kahaan, Karan Patel, Kuldeep Sodha","Dhh is a heartwarming story of 3 friends (Gungun, Bajrang and Vakil) who think they are failure until The Magician comes in. All Three believe that only This Magician can help them out."
1749,Kaala Sona,1975,"Action, Thriller",,Ravikant Nagaich,"Feroz Khan, Parveen Babi, Prem Chopra, Farida Jalal","Multi-millionaire businessman, Rakesh gets word from his servant, Ramdas that his father has been killed several years ago by a bandit named Poppy Singh and that Poppy Singh is still alive ...                See full summary »"
1750,Dhaai Akshar Prem Ke,2000,"Drama, Romance",,Raj Kanwar,"Abhishek Bachchan, Aishwarya Rai Bachchan, Amrish Puri, Anupam Kher","Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave. On the way to...                See full summary »"
1751,Sandai Kozhi,2005,Action,,N. Linguswamy,"Vishal, Meera Jasmine, Raj Kiran, Lal","Balu, on a visit to his friend's hometown, falls for the latter's sister, Hema. When he learns that this area is ruled by a local goon, Kaasi, Balu teaches him a lesson. Now, Kaasi is seeking revenge."
1752,Maama Mascheendra,2023,"Action, Drama",,Harsha Vardhan,"Eesha Rebba, Ajay, Sudheer Babu Posani, Mirnalini Ravi",Add a Plot
